Toll Plaza Name,Latitude,Longitude
Hebbalu,12.3509126,76.6113102
Hirebagewadi,15.775308,74.638973
Hirehalli,12.0578778,76.2815656
Hitnal,15.3285893,76.3087301
Hoskote,13.073014,77.7921381
Hulikunte,13.5325903,77.2601097
Kamkole,17.6444533,77.8084961
Kannegala,11.992164,76.9820879
Kannolli,16.860429,76.1504586
Kognoli,16.9115313,74.9031544
Mangalgi,16.74142,77.497
Mulbagal,13.1626004,78.3958998
Nalawadi,19.454037,75.676332
Nalluru Devanahalli,13.1912308,77.7634608
Sadahalli,13.2111088,77.647022
Shahapur,20.981235499999997,77.89001024878027
Shanthigrama,13.3428597,75.3395104
Shirur,18.76109885,74.20952895424165
Surathkal,12.9901479,74.8054148
Talapady,26.1792768,50.5291229
Towards Bengaluru,13.0146841,77.55396089999999
Kollam,8.8872399,76.5908768
Kumbalam,9.8906366,76.3123749
Paliyekkara,9.376920234701208,76.56687742110876
Ponnarimangalam,10.00163465,76.26217916397202
Thiruvallam,8.441148,76.9561921
Bagwada,20.4338923,72.9162408
Bakoli,-1.5695109,9.2609358
Bela,46.2074177,16.2552179
Chikhalikala,21.8377835,78.4230629
Chitora,25.51654135,77.64174478744854
Dagrai,24.3646556,77.6180917
Daroda,27.2608099,77.0450162
Dattigaon,22.7273733,74.85118818960892
Devgaon,19.5636683,73.1320551
Fulara,51.938806,-0.9862708839269406
Guna Bypass,24.65239375,77.28527740000001
Jaitpur,23.4790858,81.72893050500787
Jogipura,24.086654250000002,76.98028518332399
Jungawani,22.393525099999998,79.15283444654192
Kachnaria,23.2336088,76.96064998427866
Kelwad,20.4373236,76.22610337071379
Khadda,23.967321,81.47095280064403
Khambara,20.8476157,76.9266457
Khiriya,23.8905684,78.79905799686722
Madai,24.436128850000003,80.46680722206196
Majhgawan,24.200491900000003,81.40732049027017
Malthone,24.3087999,78.53702154572835
Mandwara,22.0591769,75.13132086952669
Mauhari,23.1224414,81.77321365711126
Methwada,22.6581592,75.55608306539492
Milanpur,21.860708250000002,77.94477874952815
Mohtara,22.7941013,81.40228208296536
Mudkheda,25.6833225,77.7281856
Mundiyar,26.9799108,73.6338901
Mungwari,24.67164935,79.32677137146877
Newli,23.76224515,75.63041859547414
Pachwara,25.1263408,79.3766171
Pagara,23.87580205,78.7127406311773
Pandutala,22.3769968,80.81975588403438
Para,-4.7493933,-52.8973006
Patariya Goyal,23.1250356,76.6913443
Raksha,48.4742443,36.9747149
Ramnagar,29.394835,79.126934
Saliwada,22.5238583,80.1867758
Sarasdol,21.9800367,79.50544304054695
Sendurwafa,21.0828784,80.0145569
Shahpura,25.56407305,74.9513261187484
Titarpani,23.23288475,79.04909755952986
Ujara,25.120029,79.7343196
Badewadi,19.0557597,75.3292501
Bhamb,19.7583433,77.8169989
Borgaon,16.6014579,74.5097272
Chalakwadi,19.173007,74.05325157759918
Champa,23.318258999999998,81.40908735459422
Chandwad,18.5998121,75.6357193
Charoti,19.9101798,72.9400343
Dhoki,19.9486826,78.535316
Ghoti,21.63088245,78.88006806686857
Hatnoor,20.1630878,75.1380484
Husnapur,20.5475352,78.3173168
Karodi,20.90672675,77.01716829342448
Kelapur,20.0211172,78.53357818719643
Kini,10.7226226,-10.7083587
Kurankhed,20.702119500000002,77.25546653302835
Laling (Dhule),20.8167383,74.744958
Mathani,21.89223325,76.49810888636145
Nandgaon Peth,21.016522950000002,77.82707805272204
Patas,47.8745169,17.6532283
Phulwadi,19.3407873,76.2493658
Sawaleshwar,17.7524929,75.7592672
Shirpur,20.430923749999998,76.18583486201827
Songir,21.746797700000002,76.24974696377483
Tamalwadi,17.8411576,75.9623694
Tidagundi,16.996831,75.7562389
Valsang Toll Plaza,17.5898188,76.0745507322141
Wadgaon ( Umred ),20.7855063,79.0391421
Darjing,21.9323475,84.8884863
Kandra,41.8259916,-121.3999898
Khamar,21.2586614,85.20894234245128
Padmanavpur,19.3551289,84.5647784
Sergarh,25.20947685,87.59644627994462
Srirampur,22.7549951,88.3416672
Azizpur,23.43495655,76.63140225573122
Badbar,30.2535879,75.6644833
Balluana,30.1753788,74.3129958
Behram,40.004223,28.446074
Chahar,40.94664865,113.08762502056439
Chandimandir,30.72628965,76.8775800918011
Chhotian,31.0551816,75.0303688
Dappar,30.5208274,76.8145179
Dhareri jattan,30.3948103,76.4996052
Dhilwan,31.514313,75.3446674
Ferozeshah,30.8794539,74.7876219
Kala Tibba,30.8901789,74.5064276
Kalajhar,30.268679,76.1519004
Kot Karor,30.8292795,74.9337267
Ladhowal,30.977746,75.7966239
Manan,34.2508493,76.9006061
Nijjarpura,31.5713328,74.9946069
Paind,29.8976569,76.0913085
Usma,57.2502096,22.1705211
Waryam Nangal,31.7356993,75.0462529
Zidda,48.2114209,16.3735785
Akhepura,26.7243386,75.3521132
Amoli,22.10019125,80.1087130415724
Aroli,26.1502692,78.43653727660572
Bagaliya,27.0532879,75.5394924
Baggad,22.6938647,75.4348719
Balana,7.2681139,80.4889888
Banthadi,27.2698126,74.3440961
Barsalpur,30.8758556,76.6310548
Bassi,13.308236749999999,-2.2280023498779986
Beer Mandi,24.6431361,76.0211956
Binawas,26.2780047,73.3738875
Birami,26.1555921,73.225615
Biratiya Kalan,26.1075274,74.0844369
Dakan Kotra,24.5003242,73.7262386
Dangiyawas,26.264555,73.281598
Daulatpura,23.155014899999998,77.37804798438393
Deogarh,24.4898318,86.6990182
Deshnok,27.7903943,73.3387051
Dhadhar,22.190390659542633,73.32799490765854
Dhaneshwar,25.0809542,75.5871391
Doli,42.8161604,17.7826934
Fatehpur,25.8348023,80.91545468512774
Gangajali,20.81787145,78.10179990683321
Gegal,26.5551729,74.7659325
Gogunda (Jaswantgarh),24.7949022,73.4616883
Gumanpura,22.6058978,74.86404467226565
Harimma,2.9210767,73.5806059
