Toll Plaza Name,Latitude,Longitude
Bagodara (MoRTH),22.638418,72.2019339
Bamanbore (MoRTH),22.4155343,71.0412338
Bhadbhid,22.0095894,72.0645932
Bhagwada,20.4344489,72.9134468
Bhalgam (Belgaum),15.8496953,74.4976741
Bharthan Karjan,22.0134605,73.1320101
Bharudi,22.0786543,70.7673969
Bhatwada (Godhra),21.2754892,73.48578309999999
Bhiladi,24.1954097,72.02714209999999
Bhirandiyara Fee Plaza,23.6712989,69.7137997
Bhordu,24.444167,71.726659
Boriach,20.8799172,73.0501203
Choryasi,21.308248,72.9551347
Dumiyani,21.7510272,70.3368131
Gadoi,21.4257148,70.2873367
Gorsar,21.3330681,69.90149269999999
Kathpur,23.4101554,72.8286074
Khemana,24.237573,72.455283
Kobadi,21.6382525,72.1453156
Kuchadi,21.0617728,79.22854989999999
Limdi,23.0088266,74.15587119999999
Makhel,25.4294033,94.1293717
Mandal (Vyara),21.1104293,73.3861266
Mokha,13.3203281,43.25039
Nadiad,22.6915853,72.86336349999999
Nadiad Toll Plaza,22.6966315,72.89681139999999
Nageshwari,25.9642198,89.69572219999999
Narmada Bridge ( Mandva ),21.7143817,73.0448727
Okhamadhi,22.1048324,69.1149051
Panthwada,24.4941021,72.2985518
Pithadiya,21.795399,70.65365179999999
Pithai,22.892347,72.9844401
Radhvanaj (Kheda),22.7091187,72.7281884
Ring Raod,30.0911375,31.1970426
Ring Road (Ahmedabad),23.0304569,72.53273159999999
Rohisa,22.8932938,72.741857
Samakhiyali,23.3050442,70.5055713
Sundarpara Toll Plaza,20.9017622,70.5152183
Surajbari,23.199128,70.7175203
Taran Toll Plaza,22.7414528,70.4885689
Undavariya/ Sirohi,24.8827147,72.8608948
Vadodara,22.3071588,73.1812187
Vadodra,22.3071588,73.1812187
Vaghasia,35.3674341,-119.0949712
Vanana,22.0190006,70.03245
Vantada,23.6064648,73.2536836
Vasad,22.4525996,73.0650234
Vavadikhurd,22.7896487,73.5329091
Velva Toll Plaza,20.8065298,70.8145914
Abubshahar,29.8599109,74.6151551
Alikan,29.6814728,75.12097039999999
Amrawali Khera,29.3622305,76.46932249999999
Badopatti,29.2745691,75.81271989999999
Bainsi,29.0341485,76.4143406
Bamla,28.8066338,76.2452836
Bhago Majra,30.7572516,76.6109441
Bhalki,18.0503666,77.2183652
Bhavdeen,29.5464204,75.2158171
